id	text	misogynous	misogyny_category	target
2210	@papa_butler Every time there’s a new girl going thru my Facebook photos I have to explain that I’m not some kinda pimp 😂	0	0	0
3520	@rbonhoff the official #WomenSuck twitter page!	0	0	0
1345	Dear Akkorou, Bitch ass nigga cunt on a stick fuck shit bitch kike small cocked cunt Love, Dj Rits	1	discredit	passive
3347	@kauliflowr oh god, I can imagine that you’ll get even more men talking to you about some “not all men” “not me” bullshit 😤	0	0	0
1612	pepperspray or smth, if you dont protect yourself dont be surprised if u get raped :/' like bitch maybe just teach men not to rape women	1	derailing	passive
3517	@Colly_flowerr no that would be girls #WomenSuck	0	0	0
3120	The list of people I'm going to kill when the 2017 First Annual Purge ensues https://t.co/C9eAyB70Gi	0	0	0
3379	@badbitchhriri @TheShadyFacts Skank ,hoe , all these words you use to describe female artists.gosh,get a grip. Do u… https://t.co/jmcOlZy0V7	0	0	0
2076	@OgbeideSmith Agriculture for one. Services and manufacturing too...do you live in a hole?	0	0	0
1463	@soledadobrien His mama is a whore! Smh the BLATANT DISRESPECT for women of color who hold political seats is appalling	1	discredit	active
1043	Anything that bleeds for a week and doesn't die is a monster #WomenSuck	1	discredit	passive
2004	@MomoMischief got really excited hearing you on Rico’s stream only to find out you still aren’t streaming because of ram issues. ::lesigh::	0	0	0
3700	@Derek_duPreez And that's only the women that have posted it.. I wrote about the 'Not All Men' culture as well - https://t.co/qx3FqiLXAb	0	0	0
1053	Domestic abuse is never okay.... Unless your wife is a bitch #WomenSuck	1	sexual_harassment	passive
662	@VinylCarBooty I can assure you (someone very close to me worked with her for years) she is an absolute cunt.	1	discredit	active
3851	@Forgeyboy @BatmanNewsCom Where are you getting #NotAllMen from? I took issue with the fact they don't explain the… https://t.co/EmIsB2xwhN	0	0	0
714	@GhostofGigi Are you calling me a Twitter Whore? Kiss indeed..	1	discredit	active
2228	Congratulations to Juan Lara Reyes on his new 2018 Loaded Ram 1500! We greatly appreciate your business!! Hope you enjoy your new ride!!!	0	0	0
2573	When your whole life is falling apart but you refuse to let them see you sweat https://t.co/Gp3GmVwAMd	0	0	0
2897	If her bio quotes a meme she fucks on the first date	0	0	0
1029	@rbonhoff let's get weird! Summertime baby! #FuckBitches	1	discredit	passive
790	God that old lady was a cunt. People are so fucking stupid when it comes to being handed money	1	discredit	active
